Attacker No.,Database,Time Entered,Time Spent (S),Commands Run,Modification Attempts,Filename,Database (Avgs),Avg Time Connected,Avg Commands Run,Avg File Modifications
78,2,2022-10-21 00:48:36.646,0.337,0,0,2022-10-21-0405_DATABASE_2_log,,,,
79,3,2022-10-21 00:48:36.647,0.338,0,0,2022-10-21-0406_DATABASE_3_log,,,,
80,3,2022-10-21 00:48:36.647,0.339,0,0,2022-10-21-0407_DATABASE_3_log,,,,
81,4,2022-10-21 00:48:36.652,0.34,0,0,2022-10-21-0407_DATABASE_4_log,,,,
82,3,2022-10-21 00:48:36.653,0.34,0,0,2022-10-21-0408_DATABASE_3_log,,,,
83,3,2022-10-21 00:48:37.758,0.341,0,0,2022-10-21-0415_DATABASE_3_log,,,,
84,3,2022-10-21 00:53:17.394,0.345,0,0,2022-10-21-0424_DATABASE_3_log,,,,
85,2,2022-10-21 01:01:13.528,0.346,0,0,2022-10-21-0443_DATABASE_2_log,,,,
86,1,2022-10-21 01:01:13.533,0.346,0,0,2022-10-21-0448_DATABASE_1_log,,,,
87,4,2022-10-21 01:01:13.537,0.347,0,0,2022-10-21-0449_DATABASE_4_log,,,,
88,4,2022-10-21 01:01:13.542,0.349,0,0,2022-10-21-0456_DATABASE_4_log,,,,
89,1,2022-10-21 01:01:13.543,0.188,0,0,2022-10-21-0502_DATABASE_1_log,,,,
90,1,2022-10-21 01:01:13.550,0.19,0,0,2022-10-21-0504_DATABASE_1_log,,,,
91,4,2022-10-21 01:01:13.552,0.092,0,0,2022-10-21-0508_DATABASE_4_log,,,,
92,2,2022-10-21 01:01:13.552,-0.004,0,0,2022-10-21-0515_DATABASE_2_log,,,,
93,3,2022-10-21 01:01:13.556,0.383,0,0,2022-10-21-0520_DATABASE_3_log,,,,
94,2,2022-10-21 01:01:13.559,-0.676,0,0,2022-10-21-0523_DATABASE_2_log,,,,
95,2,2022-10-21 01:01:13.559,0.059,0,0,2022-10-21-0526_DATABASE_2_log,,,,
96,3,2022-10-21 01:01:13.560,-0.216,0,0,2022-10-21-0528_DATABASE_3_log,,,,
97,4,2022-10-21 01:01:13.560,0.801,0,0,2022-10-21-0531_DATABASE_4_log,,,,
98,3,2022-10-21 01:01:13.561,-0.767,0,0,2022-10-21-0536_DATABASE_3_log,,,,
99,3,2022-10-21 01:01:13.563,-0.536,0,0,2022-10-21-0538_DATABASE_3_log,,,,
100,3,2022-10-21 01:01:13.563,-0.752,0,0,2022-10-21-0539_DATABASE_3_log,,,,
101,4,2022-10-21 01:01:13.563,-0.751,0,0,2022-10-21-0540_DATABASE_4_log,,,,
102,2,2022-10-21 01:01:13.565,-0.52,0,0,2022-10-21-0546_DATABASE_2_log,,,,
103,2,2022-10-21 01:01:13.565,0.238,0,0,2022-10-21-0547_DATABASE_2_log,,,,
104,4,2022-10-21 01:01:13.566,-0.684,0,0,2022-10-21-0557_DATABASE_4_log,,,,
105,4,2022-10-21 01:02:03.181,0.388,0,0,2022-10-21-0600_DATABASE_4_log,,,,
106,2,2022-10-21 01:02:06.870,0.853,0,0,2022-10-21-0601_DATABASE_2_log,,,,
107,3,2022-10-21 01:05:08.786,0.854,0,0,2022-10-21-0604_DATABASE_3_log,,,,
108,2,2022-10-21 01:05:08.787,-0.346,0,0,2022-10-21-0608_DATABASE_2_log,,,,
109,3,2022-10-21 01:05:08.788,-0.344,0,0,2022-10-21-0608_DATABASE_3_log,,,,
