Attacker No.,Database,Time Entered,Time Spent (S),Commands Run,Modification Attempts,Filename,Database (Avgs),Total # Attackers,# Relevant Attackers,Avg Time Connected,Avg Commands Run,Avg File Modifications
97,4,01:13.6,0.801,0,0,2022-10-21-0531_DATABASE_4_log,,,,,,
98,3,01:13.6,-0.767,0,0,2022-10-21-0536_DATABASE_3_log,,,,,,
99,3,01:13.6,-0.536,0,0,2022-10-21-0538_DATABASE_3_log,,,,,,
100,3,01:13.6,-0.752,0,0,2022-10-21-0539_DATABASE_3_log,,,,,,
101,4,01:13.6,-0.751,0,0,2022-10-21-0540_DATABASE_4_log,,,,,,
102,2,01:13.6,-0.52,0,0,2022-10-21-0546_DATABASE_2_log,,,,,,
103,2,01:13.6,0.238,0,0,2022-10-21-0547_DATABASE_2_log,,,,,,
104,4,01:13.6,-0.684,0,0,2022-10-21-0557_DATABASE_4_log,,,,,,
105,4,02:03.2,0.388,0,0,2022-10-21-0600_DATABASE_4_log,,,,,,
106,2,02:06.9,0.853,0,0,2022-10-21-0601_DATABASE_2_log,,,,,,
107,3,05:08.8,0.854,0,0,2022-10-21-0604_DATABASE_3_log,,,,,,
108,2,05:08.8,-0.346,0,0,2022-10-21-0608_DATABASE_2_log,,,,,,
109,3,05:08.8,-0.344,0,0,2022-10-21-0608_DATABASE_3_log,,,,,,
110,3,05:08.8,-0.152,0,0,2022-10-21-0609_DATABASE_3_log,,,,,,
111,1,05:08.8,-0.142,0,0,2022-10-21-0616_DATABASE_1_log,,,,,,
112,4,05:08.8,-0.097,0,0,2022-10-21-0616_DATABASE_4_log,,,,,,
113,1,05:08.8,-0.095,0,0,2022-10-21-0629_DATABASE_1_log,,,,,,
114,3,05:08.8,-0.095,0,0,2022-10-21-0629_DATABASE_3_log,,,,,,
115,2,05:08.8,-0.094,0,0,2022-10-21-0631_DATABASE_2_log,,,,,,
116,4,05:08.8,-0.093,0,0,2022-10-21-0639_DATABASE_4_log,,,,,,
117,2,05:08.8,-0.093,0,0,2022-10-21-0642_DATABASE_2_log,,,,,,
118,2,05:08.8,-0.092,0,0,2022-10-21-0644_DATABASE_2_log,,,,,,
119,4,05:08.8,-0.092,0,0,2022-10-21-0645_DATABASE_4_log,,,,,,
120,4,05:08.8,-0.092,0,0,2022-10-21-0646_DATABASE_4_log,,,,,,
121,4,05:08.8,-0.076,0,0,2022-10-21-0647_DATABASE_4_log,,,,,,
122,2,05:08.8,-0.075,0,0,2022-10-21-0656_DATABASE_2_log,,,,,,
123,1,05:08.8,-0.075,0,0,2022-10-21-0701_DATABASE_1_log,,,,,,
124,1,05:08.8,0.327,0,0,2022-10-21-0725_DATABASE_1_log,,,,,,
125,3,05:08.8,0.328,0,0,2022-10-21-0726_DATABASE_3_log,,,,,,
126,1,05:08.8,0.099,0,0,2022-10-21-0729_DATABASE_1_log,,,,,,
127,1,05:08.8,0.734,0,0,2022-10-21-0734_DATABASE_1_log,,,,,,
128,1,05:09.8,-0.167,0,0,2022-10-21-0735_DATABASE_1_log,,,,,,
129,2,05:09.8,0,0,0,2022-10-21-0735_DATABASE_2_log,,,,,,
130,2,05:09.8,0,0,0,2022-10-21-0751_DATABASE_2_log,,,,,,
131,2,05:09.8,0,0,0,2022-10-21-0752_DATABASE_2_log,,,,,,
132,3,05:09.8,0,0,0,2022-10-21-0758_DATABASE_3_log,,,,,,
133,4,05:09.8,0,0,0,2022-10-21-0801_DATABASE_4_log,,,,,,
134,1,10:21.7,0,0,0,2022-10-21-0802_DATABASE_1_log,,,,,,
135,2,10:21.9,0.572,0,0,2022-10-21-0804_DATABASE_2_log,,,,,,
136,3,14:07.6,0.007,0,0,2022-10-21-0808_DATABASE_3_log,,,,,,
137,1,14:07.6,0.316,0,0,2022-10-21-0815_DATABASE_1_log,,,,,,
138,2,14:07.6,0.213,0,0,2022-10-21-0815_DATABASE_2_log,,,,,,
139,4,14:07.6,0.099,0,0,2022-10-21-0815_DATABASE_4_log,,,,,,
140,1,14:07.6,0.029,0,0,2022-10-21-0831_DATABASE_1_log,,,,,,
141,1,14:07.6,0.078,0,0,2022-10-21-0842_DATABASE_1_log,,,,,,
142,1,14:07.6,-0.948,0,0,2022-10-21-0848_DATABASE_1_log,,,,,,
143,1,14:07.6,0.335,0,0,2022-10-21-0905_DATABASE_1_log,,,,,,
144,1,14:07.6,0.321,0,0,2022-10-21-0937_DATABASE_1_log,,,,,,
145,1,14:07.6,0.796,0,0,2022-10-21-1001_DATABASE_1_log,,,,,,
146,1,14:07.6,0.352,0,0,2022-10-21-1002_DATABASE_1_log,,,,,,
147,3,14:07.6,0.345,0,0,2022-10-21-1053_DATABASE_3_log,,,,,,
148,1,14:07.6,0.371,0,0,2022-10-21-1122_DATABASE_1_log,,,,,,
149,3,14:07.6,-0.657,0,0,2022-10-21-1123_DATABASE_3_log,,,,,,
150,1,14:07.6,0.076,0,0,2022-10-21-1136_DATABASE_1_log,,,,,,
151,1,14:07.6,0.114,0,0,2022-10-21-1138_DATABASE_1_log,,,,,,
152,1,14:07.6,0.179,0,0,2022-10-21-1225_DATABASE_1_log,,,,,,
153,1,14:07.6,0.18,0,0,2022-10-21-1257_DATABASE_1_log,,,,,,
154,1,14:07.6,0.18,0,0,2022-10-21-1313_DATABASE_1_log,,,,,,
155,1,14:07.6,0.35,0,0,2022-10-21-1314_DATABASE_1_log,,,,,,
156,2,14:07.6,-0.102,0,0,2022-10-21-1331_DATABASE_2_log,,,,,,
157,2,14:07.6,-0.038,0,0,2022-10-21-1332_DATABASE_2_log,,,,,,
158,4,14:07.6,0.203,0,0,2022-10-21-1333_DATABASE_4_log,,,,,,
159,1,14:07.6,-0.73,0,0,2022-10-21-1336_DATABASE_1_log,,,,,,
160,2,14:07.6,-0.69,0,0,2022-10-21-1344_DATABASE_2_log,,,,,,
161,2,14:07.6,-0.673,0,0,2022-10-21-1348_DATABASE_2_log,,,,,,
162,1,14:09.1,-0.631,0,0,2022-10-21-1349_DATABASE_1_log,,,,,,
163,2,14:09.1,-0.615,0,0,2022-10-21-1357_DATABASE_2_log,,,,,,
164,2,14:09.1,-0.614,0,0,2022-10-21-1412_DATABASE_2_log,,,,,,
165,2,14:09.2,-0.41,0,0,2022-10-21-1416_DATABASE_2_log,,,,,,
166,3,14:09.2,-0.356,0,0,2022-10-21-1423_DATABASE_3_log,,,,,,
167,3,14:09.2,0,0,0,2022-10-21-1443_DATABASE_3_log,,,,,,
168,3,14:09.2,0.469,0,0,2022-10-21-1445_DATABASE_3_log,,,,,,
169,1,14:11.2,0.47,0,0,2022-10-21-1447_DATABASE_1_log,,,,,,
170,4,14:15.0,0.632,0,0,2022-10-21-1505_DATABASE_4_log,,,,,,
171,1,14:25.2,0.633,0,0,2022-10-21-1511_DATABASE_1_log,,,,,,
172,1,14:25.2,0.634,0,0,2022-10-21-1518_DATABASE_1_log,,,,,,
173,2,18:51.0,0.634,0,0,2022-10-21-1518_DATABASE_2_log,,,,,,
174,1,18:51.0,0.635,0,0,2022-10-21-1521_DATABASE_1_log,,,,,,
175,2,18:51.0,0.646,0,0,2022-10-21-1556_DATABASE_2_log,,,,,,
176,2,18:51.0,0.647,0,0,2022-10-21-1557_DATABASE_2_log,,,,,,
177,3,18:51.0,0.65,0,0,2022-10-21-1558_DATABASE_3_log,,,,,,
178,3,18:51.0,0.652,0,0,2022-10-21-1559_DATABASE_3_log,,,,,,
179,1,18:51.0,0.659,0,0,2022-10-21-1607_DATABASE_1_log,,,,,,
180,2,18:51.0,0.666,0,0,2022-10-21-1623_DATABASE_2_log,,,,,,
181,1,18:51.0,0.667,0,0,2022-10-21-1625_DATABASE_1_log,,,,,,
182,4,18:51.0,0.668,0,0,2022-10-21-1627_DATABASE_4_log,,,,,,
183,1,18:51.0,0.676,0,0,2022-10-21-1643_DATABASE_1_log,,,,,,
184,1,18:51.0,0.677,0,0,2022-10-21-1644_DATABASE_1_log,,,,,,
