Attacker No.,Database,Time Entered,Time Spent,Commands Run,Modification Attempts,Database (Avgs),Avg Time Connected,Avg Commands Run,Avg File Modifications
191,1,2022-10-21 01:18:51.051,-0.33,0,0,,,,
192,2,2022-10-21 01:18:51.052,-0.639,0,0,,,,
193,2,2022-10-21 01:18:51.052,0.063,0,0,,,,
194,2,2022-10-21 01:18:51.057,0.026,0,0,,,,
195,1,2022-10-21 01:18:51.057,0.891,0,0,,,,
196,1,2022-10-21 01:18:51.059,-0.583,0,0,,,,
197,2,2022-10-21 01:18:51.060,-0.285,0,0,,,,
198,4,2022-10-21 01:18:51.070,0.341,0,0,,,,
199,3,2022-10-21 01:18:51.070,0.036,0,0,,,,
200,1,2022-10-21 01:18:51.074,0.053,0,0,,,,
201,2,2022-10-21 01:18:51.075,-0.85,0,0,,,,
202,2,2022-10-21 01:18:51.075,-0.849,0,0,,,,
203,4,2022-10-21 01:18:51.075,-0.848,0,0,,,,
204,2,2022-10-21 01:18:51.076,-0.847,0,0,,,,
205,2,2022-10-21 01:18:51.077,-0.845,0,0,,,,
206,4,2022-10-21 01:18:51.080,-0.844,0,0,,,,
207,4,2022-10-21 01:18:51.574,-0.839,0,0,,,,
208,3,2022-10-21 01:18:51.742,-0.838,0,0,,,,
209,2,2022-10-21 01:18:51.745,-0.838,0,0,,,,
210,4,2022-10-21 01:18:52.514,-0.836,0,0,,,,
211,1,2022-10-21 01:18:52.514,-0.831,0,0,,,,
212,2,2022-10-21 01:18:08.304,-0.829,0,0,,,,
213,4,2022-10-21 01:20:46.351,-0.829,0,0,,,,
214,2,2022-10-21 01:26:27.837,-0.827,0,0,,,,
215,2,2022-10-21 01:26:27.839,-0.824,0,0,,,,
216,2,2022-10-21 01:26:27.840,-0.823,0,0,,,,
